,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
248,BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1
249,BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1
250,BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
251,BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
252,BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2
253,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2
254,BOROLTD,Borosil Limited,EQ,22-JUL-2020,1,1,INE02PY01013,1
255,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1
256,BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10
257,BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
258,BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10
259,BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
260,BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1
261,BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10,1,INE727S01012,10
262,BROOKS,Brooks Laboratories Limited,BE,05-SEP-2011,10,1,INE650L01011,10
263,BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2
264,BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-OCT-2020,1,1,INE032Z01020,1
265,BSL,BSL Limited,EQ,27-JUL-1995,10,1,INE594B01012,10
266,BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2
267,BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
268,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10,1,INE295F01017,10
269,BVCL,Barak Valley Cements Limited,BE,23-NOV-2007,10,1,INE139I01011,10
270,BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10,1,INE319B01014,10
271,CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10,1,INE526B01014,10
272,CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,INE052I01032,1
273,CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5,1,INE278Y01022,5
274,CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10
275,CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10
276,CANDC,C & C Constructions Limited,BZ,26-FEB-2007,10,1,INE874H01015,10
277,CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2
278,CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,10,1,INE068L01016,10
279,CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10
280,CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2
281,CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10,1,INE707C01018,10
282,CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
283,CAREERP,Career Point Limited,EQ,06-OCT-2010,10,1,INE521J01018,10
284,CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10
285,CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10,1,INE290S01011,10
286,CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
287,CCCL,Consolidated Construction Consortium Limited,BE,15-OCT-2007,2,1,INE429I01024,2
288,CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2
289,CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
290,CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10
291,CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10
292,CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
293,CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10
294,CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1,1,INE281A01026,1
295,CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
296,CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1,1,INE660C01027,1
297,CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
298,CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
299,CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
300,CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
301,CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-JUN-2013,10,1,INE345B01019,10
302,CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1
303,CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,2,1,INE180C01026,2
304,CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
305,CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10
306,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10
